dow,horizon,best1,best1_mape,best2,best2_mape
0,1,cat,0.042853113524087195,xgb,0.04988884147800314
1,1,lgbm_bag,0.04303762198165601,v3_2stage,0.04708268815802793
2,1,cat,0.048278460146956165,lgbm_l2,0.049058516826342
3,1,xgb,0.04457205104046897,lgbm_bag,0.04834815252386911
4,1,lgbm_bag,0.03635619440416454,v3_2stage,0.039591439998242106
5,1,v3_2stage,0.04428413617430909,lgbm_bag,0.044746088005473576
6,1,cat,0.04996005403102788,v3_2stage,0.05414834441346912
0,2,lgbm_q,0.04642536411411484,cat,0.04766016586863741
1,2,lgbm_bag,0.04345730851055239,cat,0.04464021454143458
2,2,lgbm_bag,0.05146882714654016,cat,0.05280491161814939
3,2,lgbm_q,0.04264324667469998,lgbm_bag,0.04803882065205104
4,2,lgbm_q,0.04288261277153678,xgb,0.043159176516434965
5,2,v3_2stage,0.043678236368082685,lgbm_l2,0.04416244019668135
6,2,lgbm_q,0.05129966669772032,cat,0.055343119460704596
0,3,cat,0.04847901175985595,lgbm_q,0.05043415874817783
1,3,cat,0.04531589801410632,lgbm_bag,0.04607954425327189
2,3,lgbm_bag,0.05077261265162875,lgbm_q,0.05353801249239033
3,3,lgbm_bag,0.05045640728698189,v3_2stage,0.05435500365266616
4,3,lgbm_q,0.04468284904283964,lgbm_bag,0.046774497418434695
5,3,lgbm_q,0.04970807188649427,lgbm_bag,0.051205432905026035
6,3,lgbm_q,0.05194125577202451,xgb,0.05619458878494898
0,4,cat,0.05060114992393835,v3_2stage,0.05606129243609966
1,4,cat,0.0470110984252793,lgbm_bag,0.04937641231824784
2,4,lgbm_bag,0.055030385654920945,lgbm_q,0.0555483325460705
3,4,v3_2stage,0.05101802963771002,lgbm_l2,0.05132916287471966
4,4,lgbm_l2,0.04718023089829503,v3_2stage,0.047432169018765055
5,4,v3_2stage,0.05091795791487118,lgbm_l2,0.05096915053742604
6,4,xgb,0.054179142902052474,cat,0.05940808143674052
0,5,lgbm_q,0.05313831129329486,cat,0.05318039281169166
1,5,xgb,0.05152375194177534,cat,0.05514115915088546
2,5,lgbm_bag,0.05215174257793247,xgb,0.05330114083222904
3,5,xgb,0.0496160143629656,cat,0.05146126799495673
4,5,lgbm_bag,0.04340118710503309,lgbm_l2,0.046188677452250124
5,5,cat,0.0518477896233587,lgbm_bag,0.052018067093253115
6,5,xgb,0.05714147355042427,cat,0.05737202060236016
0,6,lgbm_q,0.04804474005414273,cat,0.05292655543509949
1,6,xgb,0.052008117782428934,lgbm_q,0.054226730687226866
2,6,lgbm_bag,0.05929721287280533,xgb,0.05985647190701631
3,6,lgbm_q,0.051675279945077146,lgbm_bag,0.05506875908513464
4,6,lgbm_bag,0.048364020354408455,v3_2stage,0.052280099487981034
5,6,lgbm_bag,0.04911155374360536,v3_2stage,0.052614606222456395
6,6,lgbm_bag,0.061775731176391555,xgb,0.06365583640153448
0,7,cat,0.050218338628142484,lgbm_q,0.05285685588027037
1,7,cat,0.05232768966896063,lgbm_bag,0.053893671639047416
2,7,cat,0.0547148816654346,xgb,0.05989992807691314
3,7,cat,0.05606592141626216,xgb,0.0579937697174706
4,7,lgbm_bag,0.05442509541749265,cat,0.05666605817187862
5,7,v3_2stage,0.05059860380074602,lgbm_bag,0.051777721299411134
6,7,cat,0.05311501470309673,lgbm_q,0.05425751167658966
0,8,cat,0.05487021809857047,lgbm_q,0.05673481392325537
1,8,xgb,0.05313918063372707,cat,0.05700099546550928
2,8,lgbm_l2,0.06058839187127267,v3_2stage,0.060890864271446514
3,8,cat,0.0614897387718958,xgb,0.061694180309874905
4,8,lgbm_bag,0.058918436048914294,xgb,0.061194794154522655
5,8,lgbm_bag,0.05649176295315047,lgbm_l2,0.0603571777608611
6,8,cat,0.06299230668872129,xgb,0.06731119795760314
0,9,cat,0.06285908540111015,lgbm_q,0.06623097832464171
1,9,xgb,0.05423481933175985,lgbm_q,0.05977965698225888
2,9,lgbm_q,0.06483850632107108,lgbm_bag,0.06585430160607093
3,9,cat,0.06432494547943449,lgbm_q,0.06723254083295273
4,9,cat,0.0630344915245052,v3_2stage,0.06687572122719927
5,9,lgbm_bag,0.061109750022302615,cat,0.062099803705193045
6,9,cat,0.06908381694147282,lgbm_q,0.07522899486033333
0,10,cat,0.06191372973372521,lgbm_q,0.06287634814587265
1,10,xgb,0.05762271471532248,cat,0.061925726582277095
2,10,cat,0.06530418509684593,xgb,0.06660357069287895
3,10,xgb,0.06770998501726158,cat,0.06847507590999133
4,10,xgb,0.06295468681538535,cat,0.06745488118437205
5,10,lgbm_bag,0.0667638982721723,lgbm_l2,0.06809574297577389
6,10,cat,0.06746808772034504,xgb,0.07110574353758732
0,11,lgbm_q,0.057333358826601795,cat,0.05923516130929449
1,11,cat,0.058648224933633114,xgb,0.05892177237511343
2,11,xgb,0.06501989827277208,lgbm_q,0.06565779782294959
3,11,cat,0.06147143017983451,lgbm_q,0.06423348320580557
4,11,xgb,0.06564461623843255,lgbm_q,0.06694017379172833
5,11,cat,0.06985951604189919,lgbm_bag,0.07170308033358774
6,11,lgbm_q,0.07044012083944551,cat,0.07165229263085868
0,12,lgbm_q,0.06379350520390294,xgb,0.06584406348574835
1,12,lgbm_q,0.04908530036281334,xgb,0.054267044981012535
2,12,xgb,0.06422298762244585,cat,0.06687207456817257
3,12,lgbm_q,0.05788099961368593,xgb,0.05952018255550097
4,12,xgb,0.0598735913207814,cat,0.06376118264679383
5,12,lgbm_q,0.06376548797907405,cat,0.06441808583448738
6,12,lgbm_q,0.06321970554220092,lgbm_bag,0.0688344489374085
0,13,lgbm_q,0.0633986764639048,cat,0.06490861310666116
1,13,lgbm_q,0.05555223106774953,cat,0.058212488183087614
2,13,cat,0.05973363848722878,lgbm_q,0.06473287247504847
3,13,cat,0.058681303875770495,xgb,0.06396007878967726
4,13,cat,0.06259719339626921,xgb,0.06480207777866825
5,13,cat,0.06389017374769072,v3_2stage,0.06746546739490594
6,13,lgbm_q,0.07095854756698369,xgb,0.07200489546301202
0,14,cat,0.06597609954332886,xgb,0.06809931751636794
1,14,xgb,0.058485887799957864,lgbm_q,0.05875233610222245
2,14,xgb,0.06271913846002791,cat,0.06493968865393647
3,14,cat,0.06264726032367356,xgb,0.06400054166516335
4,14,xgb,0.06371150884285086,cat,0.06401257504662203
5,14,v3_2stage,0.05801811074997566,lgbm_l2,0.059258441592259285
6,14,lgbm_bag,0.07448683463662518,xgb,0.07519736219439946
0,15,xgb,0.06473438906473097,cat,0.06481218500243777
1,15,xgb,0.0513055271951585,cat,0.05648274503227461
2,15,cat,0.05913059080756627,lgbm_l2,0.06285460808312268
3,15,cat,0.06273796156492578,xgb,0.06461373232677187
4,15,xgb,0.062403703747468536,cat,0.06310315805231795
5,15,xgb,0.06621450247321911,lgbm_bag,0.0664599218459161
6,15,cat,0.0756222547432201,xgb,0.07592733018684829
0,16,xgb,0.07183170456224344,lgbm_q,0.07547406767545708
1,16,xgb,0.06458974781632151,lgbm_l2,0.06509374699288376
2,16,xgb,0.0652640766825614,lgbm_l2,0.06686944048940661
3,16,v3_2stage,0.06232008157075089,lgbm_l2,0.06257725908100162
4,16,lgbm_bag,0.0581178540045631,lgbm_l2,0.06002016496245683
5,16,lgbm_bag,0.059355821271627446,v3_2stage,0.06060835349239021
6,16,xgb,0.07185853124729116,lgbm_bag,0.07380674316142304
0,17,cat,0.0679234799775697,lgbm_q,0.06865913246877
1,17,lgbm_q,0.051552821891829345,xgb,0.05732766374684707
2,17,cat,0.059135498403975216,xgb,0.06364495995099043
3,17,cat,0.06501376279865786,xgb,0.07141303281906843
4,17,cat,0.056431889402445756,lgbm_bag,0.056614001227262685
5,17,lgbm_bag,0.05218118903755854,v3_2stage,0.05586114095411851
6,17,cat,0.06576480943745935,xgb,0.06744660904516592
0,18,cat,0.06617319634274177,xgb,0.06674649293307891
1,18,xgb,0.059272727217934085,lgbm_q,0.06686017623148398
2,18,lgbm_q,0.061799283781485144,xgb,0.06329990299282795
3,18,xgb,0.06381217487888602,cat,0.06842128476331405
4,18,xgb,0.05610419650283008,cat,0.059205267587322294
5,18,lgbm_bag,0.05575351910811865,lgbm_l2,0.058572877066189646
6,18,lgbm_bag,0.06548412880016966,lgbm_q,0.06668721447402012
0,19,xgb,0.06551894670745086,cat,0.07003717097476633
1,19,xgb,0.0524740987574828,cat,0.057587622872410586
2,19,xgb,0.059935498641935675,cat,0.06283336324342455
3,19,xgb,0.058772962911069454,cat,0.06375301146976267
4,19,xgb,0.05250144660595083,cat,0.058544162169056536
5,19,xgb,0.05664434030764051,lgbm_bag,0.05689435356145799
6,19,xgb,0.06258705646700882,lgbm_bag,0.0634125071896968
0,20,lgbm_q,0.06509787486433298,xgb,0.07208987177790441
1,20,lgbm_q,0.05702583858188752,lgbm_l2,0.06346369541767218
2,20,xgb,0.06423502137790685,lgbm_q,0.06522958410983325
3,20,xgb,0.06258703400656035,lgbm_l2,0.06419192310319724
4,20,xgb,0.054486076794703735,lgbm_bag,0.060051056867699674
5,20,cat,0.05882329594469808,xgb,0.05908641700437446
6,20,lgbm_q,0.06255094163180491,xgb,0.06272230017900686
0,21,lgbm_q,0.06153291307727026,cat,0.07032565765509279
1,21,lgbm_q,0.05646441726458189,xgb,0.059140250457069214
2,21,xgb,0.0632296289853158,cat,0.0656201767470834
3,21,xgb,0.06548949182670884,lgbm_bag,0.06577742709622944
4,21,cat,0.05720878025957937,xgb,0.059423031163797144
5,21,lgbm_bag,0.056292406711989984,cat,0.05830139370355293
6,21,xgb,0.06471318543185979,cat,0.06514775890268185
0,22,cat,0.06428136511548929,lgbm_q,0.06946844239545245
1,22,xgb,0.05745713866787298,cat,0.06063873184492444
2,22,xgb,0.06487513215302042,lgbm_bag,0.06923090968256032
3,22,xgb,0.06954286204169403,lgbm_bag,0.06958074168987252
4,22,lgbm_bag,0.0636522407213812,xgb,0.0643103455081076
5,22,lgbm_bag,0.05984497267285161,xgb,0.05991962101090516
6,22,xgb,0.0632910110342194,lgbm_bag,0.06394825034896684
0,23,xgb,0.07240565645407139,cat,0.07675139862326605
1,23,xgb,0.059480516931477476,cat,0.06640919484923116
2,23,xgb,0.06054952669609193,cat,0.07183719826092065
3,23,xgb,0.07109557933060993,cat,0.07909230234390772
4,23,xgb,0.07014574442750565,cat,0.07096752281258197
5,23,cat,0.061955103590601565,xgb,0.06353874527459913
6,23,xgb,0.07335038015781084,cat,0.07413399687899754
0,24,xgb,0.06583151365674254,lgbm_q,0.06950124635525165
1,24,xgb,0.06084158367574999,cat,0.06541247356404953
2,24,xgb,0.06415249640359127,cat,0.06585533873679272
3,24,xgb,0.06926383918167704,lgbm_bag,0.07361176514756285
4,24,xgb,0.06287094099127664,cat,0.06644170072216228
5,24,cat,0.05969338083752137,lgbm_q,0.061248764327678014
6,24,xgb,0.07036525349616574,cat,0.07043244423878946
0,25,cat,0.06717592944360441,lgbm_q,0.06909607615415712
1,25,xgb,0.05743410551664952,cat,0.06479193064384917
2,25,xgb,0.061912362325437405,cat,0.062035628561016756
3,25,cat,0.07133511645353804,xgb,0.07134723441072567
4,25,xgb,0.062124856865819374,lgbm_bag,0.06547072457569886
5,25,xgb,0.05565188552773186,v3_2stage,0.055867971937445825
6,25,xgb,0.06841430720230417,v3_2stage,0.07045525287849676
0,26,xgb,0.07255121967301488,lgbm_q,0.07425819317065087
1,26,xgb,0.05458108049227605,cat,0.06244167696872686
2,26,xgb,0.06165420839801044,cat,0.06475204978206733
3,26,xgb,0.06571485340456797,cat,0.07447955676684619
4,26,xgb,0.061842200393508594,lgbm_bag,0.0682195614937951
5,26,cat,0.057381817386390845,xgb,0.05884677290920168
6,26,lgbm_bag,0.06495984393992466,xgb,0.06514237092675303
0,27,xgb,0.06827799200441532,cat,0.07634369413613037
1,27,xgb,0.054810522639904415,cat,0.06312996913270166
2,27,xgb,0.05967987946587317,cat,0.06477063081460857
3,27,xgb,0.06715922001876783,cat,0.07210171735540118
4,27,xgb,0.06527790710094089,lgbm_bag,0.06658960249151635
5,27,cat,0.05577073490898258,lgbm_q,0.05748972148961695
6,27,xgb,0.06276809247893983,cat,0.06292572126563149
0,28,cat,0.06528542993905927,xgb,0.06575465159582182
1,28,cat,0.05437715636961553,xgb,0.056840732999393365
2,28,xgb,0.06147175601124347,cat,0.0634892677817738
3,28,cat,0.06283333659347122,xgb,0.06505537694157558
4,28,cat,0.05574166727981942,xgb,0.060878888488109704
5,28,cat,0.055179743824275415,lgbm_bag,0.058262592941418404
6,28,xgb,0.05811653664040786,cat,0.06239599953877563
